neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Annex,Entire home/apt,40,28,0,4,Toronto,Short-term rental,No
Corso Italia Davenport,Private room,85,28,365,2,Toronto,Short-term rental,No
The Beaches,Entire home/apt,225,28,103,5,Toronto,Short-term rental,No
Niagara,Entire home/apt,175,2,4,4,Toronto,Short-term rental,Yes
York University Heights,Private room,43,28,0,1,North York,Short-term rental,No
Newtonbrook West,Private room,135,28,173,2,North York,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,850,5,103,8,Toronto,Short-term rental,Yes
Dufferin Grove,Private room,65,30,51,1,Toronto,Long-term rental,Yes
Rosedale Moore Park,Entire home/apt,100,28,0,2,Toronto,Short-term rental,No
Yorkdale Glen Park,Private room,83,1,225,4,North York,Short-term rental,Yes
Bayview Village,Private room,35,28,0,3,North York,Short-term rental,No
Church Yonge Corridor,Private room,50,28,0,2,Toronto,Short-term rental,No
Niagara,Private room,70,28,0,2,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Private room,99,14,143,2,Toronto,Short-term rental,Yes
Hillcrest Village,Private room,67,1,165,2,North York,Short-term rental,Yes
Willowdale East,Entire home/apt,144,28,0,4,North York,Short-term rental,No
Humewood Cedarvale,Private room,60,28,0,1,York,Short-term rental,No
Runnymede Bloor West Village,Entire home/apt,99,28,38,4,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Private room,90,28,7,2,Toronto,Short-term rental,Yes
Yorkdale Glen Park,Entire home/apt,95,28,0,4,North York,Short-term rental,No
Clairlea Birchmount,Entire home/apt,175,28,90,2,Scarborough,Short-term rental,No
Trinity Bellwoods,Entire home/apt,199,28,144,3,Toronto,Short-term rental,No
Roncesvalles,Entire home/apt,85,28,0,3,Toronto,Short-term rental,No
Bendale,Private room,70,28,22,1,Scarborough,Short-term rental,No
Yonge Eglinton,Private room,125,28,0,1,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,180,28,179,4,Toronto,Short-term rental,No
Junction Area,Private room,85,28,179,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,144,28,0,4,North York,Short-term rental,No
Bay Street Corridor,Entire home/apt,155,21,343,3,Toronto,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,111,28,28,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,90,28,0,3,Toronto,Short-term rental,No
Islington City Centre West,Entire home/apt,500,180,173,12,Etobicoke,Long-term rental,No
Palmerston Little Italy,Private room,50,28,0,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,120,28,0,1,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,109,28,0,5,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,97,28,14,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,110,28,148,3,Toronto,Short-term rental,Yes
Annex,Entire home/apt,199,28,123,4,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,89,28,1,2,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,75,28,0,1,Toronto,Short-term rental,No
Steeles,Private room,99,28,0,2,North York,Short-term rental,No
Palmerston Little Italy,Private room,57,29,296,1,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,170,28,61,4,Toronto,Short-term rental,No
Ionview,Entire home/apt,70,29,148,1,Scarborough,Long-term rental,Yes
Greenwood Coxwell,Entire home/apt,145,1,85,4,Toronto,Short-term rental,Yes
Steeles,Private room,130,28,0,5,North York,Short-term rental,Yes
Caledonia Fairbank,Private room,35,250,90,1,York,Long-term rental,No
Junction Area,Entire home/apt,85,28,365,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,139,28,0,2,Toronto,Short-term rental,No
Trinity Bellwoods,Private room,45,28,0,1,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,115,120,0,2,Toronto,Long-term rental,No
Kennedy Park,Entire home/apt,45,90,342,1,Toronto,Long-term rental,No
Niagara,Entire home/apt,150,28,181,6,Toronto,Short-term rental,No
Mount Pleasant East,Entire home/apt,125,28,253,2,Toronto,Short-term rental,No
Annex,Entire home/apt,65,28,0,2,Toronto,Short-term rental,No
South Riverdale,Private room,55,28,7,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,210,28,0,4,Toronto,Short-term rental,No
Centennial Scarborough,Private room,115,28,173,2,Etobicoke,Short-term rental,No
Bay Street Corridor,Entire home/apt,147,28,0,3,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,95,28,223,5,Toronto,Short-term rental,Yes
The Beaches,Entire home/apt,187,28,161,8,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,300,28,159,4,North York,Short-term rental,No
Trinity Bellwoods,Private room,42,28,0,2,Toronto,Short-term rental,No
Clanton Park,Private room,50,1,6,2,North York,Short-term rental,Yes
Yonge St Clair,Entire home/apt,192,28,220,3,Toronto,Short-term rental,No
Clanton Park,Entire home/apt,65,28,67,2,North York,Short-term rental,No
Regent Park,Private room,65,28,0,2,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,150,28,0,2,Toronto,Short-term rental,No
Annex,Entire home/apt,93,28,0,1,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,80,28,0,2,Toronto,Short-term rental,No
The Beaches,Private room,40,28,172,1,Toronto,Short-term rental,Yes
Greenwood Coxwell,Private room,61,1,296,2,Toronto,Short-term rental,Yes
Danforth East York,Entire home/apt,88,100,0,2,Toronto,Long-term rental,No
Bayview Village,Private room,30,28,0,3,North York,Short-term rental,No
Parkwoods Donalda,Private room,59,28,0,2,North York,Short-term rental,No
Glenfield Jane Heights,Entire home/apt,111,5,125,3,North York,Short-term rental,Yes
Glenfield Jane Heights,Entire home/apt,111,3,192,3,North York,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Private room,89,14,144,2,Toronto,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,49,31,44,1,Toronto,Long-term rental,No
Parkwoods Donalda,Entire home/apt,161,28,313,4,North York,Short-term rental,No
Stonegate Queensway,Entire home/apt,414,2,352,8,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,89,28,271,5,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Private room,158,28,0,3,Toronto,Short-term rental,No
Niagara,Private room,65,2,19,1,Toronto,Short-term rental,Yes
Niagara,Private room,58,28,290,1,Toronto,Short-term rental,No
Wexford Maryvale,Private room,43,30,313,1,Scarborough,Long-term rental,No
Annex,Entire home/apt,77,28,333,2,Toronto,Short-term rental,No
Trinity Bellwoods,Private room,61,28,0,2,Toronto,Short-term rental,No
Greenwood Coxwell,Entire home/apt,120,28,0,2,Toronto,Short-term rental,No
Yonge Eglinton,Entire home/apt,110,28,0,3,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,85,3,11,2,Toronto,Short-term rental,Yes
Bayview Woods Steeles,Entire home/apt,1128,300,83,14,North York,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,118,29,0,2,Toronto,Long-term rental,No
O Connor Parkview,Entire home/apt,90,28,0,2,East York,Short-term rental,Yes
Pleasant View,Private room,45,28,0,1,North York,Short-term rental,No
Kensington Chinatown,Private room,93,30,6,2,Toronto,Long-term rental,Yes
Keelesdale Eglinton West,Entire home/apt,79,28,49,3,Toronto,Short-term rental,No
Wychwood,Entire home/apt,120,28,362,5,Toronto,Short-term rental,No
Playter Estates Danforth,Entire home/apt,99,28,0,2,Toronto,Short-term rental,No
Yorkdale Glen Park,Private room,70,1,354,4,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,155,28,0,4,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,102,28,95,2,North York,Short-term rental,No
Bay Street Corridor,Shared room,39,28,0,1,Toronto,Short-term rental,No
Mimico (Includes Humber Bay Shores),Entire home/apt,60,28,0,3,Etobicoke,Short-term rental,No
Greenwood Coxwell,Private room,45,28,0,2,Toronto,Short-term rental,No
Annex,Entire home/apt,100,31,281,2,Toronto,Long-term rental,No
Bayview Village,Private room,40,28,0,1,North York,Short-term rental,No
Niagara,Entire home/apt,120,28,0,3,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,109,28,160,2,Toronto,Short-term rental,No
Humewood Cedarvale,Entire home/apt,65,28,353,2,York,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,93,28,144,6,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,150,28,347,4,North York,Short-term rental,No
East End Danforth,Private room,60,1,136,2,Toronto,Short-term rental,Yes
Roncesvalles,Entire home/apt,125,28,0,6,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,75,28,79,2,Toronto,Short-term rental,No
Parkwoods Donalda,Entire home/apt,57,28,69,2,North York,Short-term rental,No
Annex,Entire home/apt,150,28,176,3,Toronto,Short-term rental,No
University,Entire home/apt,89,45,0,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,317,28,128,4,Toronto,Short-term rental,Yes
Willowdale East,Entire home/apt,163,6,80,3,North York,Short-term rental,Yes
Tam O Shanter Sullivan,Private room,85,1,172,1,Scarborough,Short-term rental,Yes
Moss Park,Entire home/apt,60,28,0,1,Toronto,Short-term rental,No
Humbermede,Private room,64,28,365,1,North York,Short-term rental,Yes
Yorkdale Glen Park,Private room,86,1,76,2,North York,Short-term rental,Yes
Caledonia Fairbank,Private room,35,30,89,1,York,Long-term rental,No
Mimico (Includes Humber Bay Shores),Entire home/apt,299,28,312,8,Etobicoke,Short-term rental,No
South Riverdale,Entire home/apt,93,28,0,3,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,160,1,0,2,Toronto,Short-term rental,Yes
Birchcliffe Cliffside,Private room,26,28,0,2,Scarborough,Short-term rental,No
L Amoreaux,Private room,80,28,342,2,Scarborough,Short-term rental,No
Elms Old Rexdale,Private room,49,28,114,4,Etobicoke,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,140,28,5,4,Toronto,Short-term rental,Yes
Trinity Bellwoods,Private room,185,28,0,6,Toronto,Short-term rental,Yes
Weston Pellam Park,Private room,99,3,313,1,York,Short-term rental,Yes
Mimico (Includes Humber Bay Shores),Entire home/apt,124,28,0,2,Etobicoke,Short-term rental,No
West Humber Clairville,Private room,265,2,90,2,Etobicoke,Short-term rental,Yes
Little Portugal,Entire home/apt,170,3,9,3,Toronto,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,90,30,105,2,Toronto,Long-term rental,No
Tam O Shanter Sullivan,Private room,103,1,247,2,Scarborough,Short-term rental,Yes
Yonge Eglinton,Private room,100,28,0,1,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,414,1,0,6,Toronto,Short-term rental,Yes
L Amoreaux,Private room,80,28,342,2,Scarborough,Short-term rental,No
Woodbine Corridor,Entire home/apt,116,28,364,10,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,109,28,130,4,Toronto,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Private room,35,28,0,1,Toronto,Short-term rental,No
Agincourt North,Entire home/apt,199,28,0,10,Scarborough,Short-term rental,No
Eringate Centennial West Deane,Entire home/apt,128,2,364,2,Etobicoke,Short-term rental,Yes
L Amoreaux,Private room,80,28,342,2,Scarborough,Short-term rental,No
Junction Area,Private room,109,2,146,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,347,28,114,6,Toronto,Short-term rental,Yes
Willowdale East,Entire home/apt,120,28,79,4,North York,Short-term rental,No
University,Entire home/apt,115,28,0,4,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,40,180,223,2,North York,Long-term rental,No
Tam O Shanter Sullivan,Private room,71,1,190,2,Scarborough,Short-term rental,Yes
Lawrence Park South,Private room,89,1,142,2,Toronto,Short-term rental,Yes
Annex,Private room,72,1,12,2,Toronto,Short-term rental,Yes
Rouge,Entire home/apt,58,28,0,4,Scarborough,Short-term rental,No
Banbury Don Mills,Entire home/apt,95,28,179,2,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,145,30,211,4,Toronto,Long-term rental,No
Annex,Entire home/apt,144,28,0,6,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Private room,40,28,0,2,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,110,300,32,2,Toronto,Long-term rental,No
Rexdale Kipling,Private room,43,28,71,2,Etobicoke,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Private room,76,1,259,2,Toronto,Short-term rental,Yes
South Parkdale,Entire home/apt,80,28,0,2,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,225,28,0,5,Toronto,Short-term rental,No
York University Heights,Private room,232,28,89,2,North York,Short-term rental,No
The Beaches,Entire home/apt,257,4,28,4,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,432,28,90,5,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,528,28,343,8,Toronto,Short-term rental,Yes
South Parkdale,Entire home/apt,89,28,282,4,Toronto,Short-term rental,Yes
Clairlea Birchmount,Private room,37,28,0,1,Scarborough,Short-term rental,No
Clairlea Birchmount,Private room,39,28,0,1,Scarborough,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,634,28,0,2,Toronto,Short-term rental,No
Junction Area,Entire home/apt,150,28,126,6,Toronto,Short-term rental,No
Clairlea Birchmount,Entire home/apt,182,30,0,5,Scarborough,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,304,4,12,2,Toronto,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,244,28,179,3,Toronto,Short-term rental,No
Forest Hill South,Entire home/apt,1350,28,173,6,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,189,28,365,4,Toronto,Short-term rental,No
Yonge Eglinton,Entire home/apt,150,28,68,4,Toronto,Short-term rental,No
Playter Estates Danforth,Entire home/apt,200,30,143,4,Toronto,Long-term rental,No
Rosedale Moore Park,Entire home/apt,99,28,0,4,Toronto,Short-term rental,No
Willowdale East,Private room,82,360,180,2,North York,Long-term rental,No
South Riverdale,Private room,70,28,0,2,Toronto,Short-term rental,No
North St James Town,Entire home/apt,125,28,11,2,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,870,28,90,4,Toronto,Short-term rental,No
Tam O Shanter Sullivan,Private room,75,1,333,2,Scarborough,Short-term rental,Yes
Newtonbrook East,Private room,38,29,96,2,North York,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,100,28,312,2,Toronto,Short-term rental,No
Palmerston Little Italy,Entire home/apt,150,180,221,6,Toronto,Long-term rental,No
Lansing Westgate,Private room,28,28,0,1,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,180,28,179,3,Toronto,Short-term rental,No
Weston,Private room,100,28,179,2,York,Short-term rental,No
Kensington Chinatown,Entire home/apt,120,2,29,6,Toronto,Short-term rental,Yes
L Amoreaux,Private room,70,28,342,2,Scarborough,Short-term rental,No
North Riverdale,Entire home/apt,99,28,180,5,Toronto,Short-term rental,Exempt
York University Heights,Private room,50,28,358,1,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,321,2,7,5,Toronto,Short-term rental,Yes
Annex,Entire home/apt,225,31,0,7,Toronto,Long-term rental,No
Highland Creek,Private room,28,28,0,1,Scarborough,Short-term rental,No
Eglinton East,Entire home/apt,174,28,287,4,Scarborough,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,300,28,0,6,Toronto,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Entire home/apt,60,28,0,4,Toronto,Short-term rental,No
Caledonia Fairbank,Entire home/apt,65,28,264,2,York,Short-term rental,Yes
Trinity Bellwoods,Private room,139,28,365,2,Toronto,Short-term rental,No
Annex,Entire home/apt,218,28,128,2,Toronto,Short-term rental,Yes
Woodbine Corridor,Entire home/apt,159,1,348,3,Toronto,Short-term rental,Yes
Maple Leaf,Entire home/apt,67,28,0,4,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,495,2,257,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,300,1,76,8,Toronto,Short-term rental,Yes
Bay Street Corridor,Private room,150,28,0,2,Toronto,Short-term rental,No
West Humber Clairville,Entire home/apt,950,7,90,6,Etobicoke,Short-term rental,Yes
Oakwood Village,Entire home/apt,81,29,37,2,York,Long-term rental,No
Annex,Entire home/apt,85,28,0,2,Toronto,Short-term rental,No
Old East York,Entire home/apt,110,2,137,2,East York,Short-term rental,Yes
Moss Park,Entire home/apt,159,28,274,2,Toronto,Short-term rental,No
Niagara,Entire home/apt,200,28,0,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,70,28,0,2,North York,Short-term rental,No
Oakwood Village,Entire home/apt,85,28,0,3,York,Short-term rental,No
South Parkdale,Private room,30,28,0,2,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,69,28,0,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,14,28,38,2,Toronto,Short-term rental,No
Roncesvalles,Entire home/apt,442,28,343,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,105,28,123,5,North York,Short-term rental,Yes
Casa Loma,Entire home/apt,264,29,161,2,Toronto,Long-term rental,Yes
Waterfront Communities The Island,Entire home/apt,375,28,90,4,Toronto,Short-term rental,No
Bendale,Entire home/apt,95,28,5,4,Scarborough,Short-term rental,Yes
West Hill,Private room,36,2,221,2,Scarborough,Short-term rental,Yes
Mount Pleasant East,Entire home/apt,700,28,0,6,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,275,28,87,3,Toronto,Short-term rental,No
North Riverdale,Entire home/apt,85,28,33,2,Toronto,Short-term rental,Exempt
Waterfront Communities The Island,Entire home/apt,409,28,162,4,Toronto,Short-term rental,No
Wychwood,Entire home/apt,120,28,171,4,Toronto,Short-term rental,No
Bedford Park Nortown,Entire home/apt,575,3,0,6,Toronto,Short-term rental,Yes
South Parkdale,Entire home/apt,78,28,343,2,Toronto,Short-term rental,Yes
Pelmo Park Humberlea,Entire home/apt,115,28,107,5,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,299,28,0,6,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,50,28,0,2,Toronto,Short-term rental,No
Lansing Westgate,Private room,110,28,0,2,North York,Short-term rental,No
High Park Swansea,Private room,120,1,281,2,Toronto,Short-term rental,Yes
O Connor Parkview,Entire home/apt,120,28,0,6,East York,Short-term rental,No
Annex,Entire home/apt,260,90,0,11,Toronto,Long-term rental,No
Annex,Entire home/apt,80,28,0,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,135,120,0,2,Toronto,Long-term rental,No
Don Valley Village,Entire home/apt,499,28,0,16,North York,Short-term rental,No
West Humber Clairville,Private room,30,28,0,1,Etobicoke,Short-term rental,No
Niagara,Entire home/apt,207,2,27,2,Toronto,Short-term rental,Yes
High Park Swansea,Entire home/apt,179,7,8,4,Toronto,Short-term rental,Yes
Willowridge Martingrove Richview,Private room,60,28,281,2,Etobicoke,Short-term rental,No
O Connor Parkview,Entire home/apt,70,28,97,2,East York,Short-term rental,No
Cliffcrest,Private room,400,45,263,2,Scarborough,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,28,89,4,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,280,28,0,6,Toronto,Short-term rental,No
Greenwood Coxwell,Entire home/apt,110,28,178,4,Toronto,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,2000,28,90,6,Toronto,Short-term rental,No
Taylor Massey,Private room,75,1,43,5,Toronto,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,99,90,0,2,Toronto,Long-term rental,No
East End Danforth,Private room,75,28,178,1,Toronto,Short-term rental,No
Mount Pleasant West,Entire home/apt,188,28,0,2,Toronto,Short-term rental,Yes
Mount Pleasant West,Entire home/apt,126,28,253,4,Toronto,Short-term rental,Yes
Playter Estates Danforth,Entire home/apt,214,28,0,6,Toronto,Short-term rental,No
West Humber Clairville,Private room,270,2,90,2,Etobicoke,Short-term rental,Yes
Corso Italia Davenport,Private room,47,28,0,1,Toronto,Short-term rental,No
Yorkdale Glen Park,Private room,30,28,29,1,North York,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,120,28,32,8,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,150,28,0,2,Toronto,Short-term rental,No
Mount Pleasant West,Entire home/apt,115,28,0,2,Toronto,Short-term rental,No
Bayview Woods Steeles,Entire home/apt,83,28,145,4,North York,Short-term rental,No
Niagara,Entire home/apt,700,28,0,10,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,88,28,98,2,Toronto,Short-term rental,Yes
Highland Creek,Private room,38,7,293,1,Scarborough,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,99,28,0,4,Toronto,Short-term rental,No
Roncesvalles,Entire home/apt,103,28,0,2,Toronto,Short-term rental,No
Annex,Entire home/apt,200,4,7,2,Toronto,Short-term rental,Yes
Runnymede Bloor West Village,Entire home/apt,92,28,356,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,115,28,0,3,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,232,1,273,4,Toronto,Short-term rental,Yes
Mount Pleasant East,Entire home/apt,181,3,173,3,Toronto,Short-term rental,Yes
Alderwood,Entire home/apt,60,28,222,3,Etobicoke,Short-term rental,No
Moss Park,Entire home/apt,82,28,47,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,175,28,64,5,Toronto,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,85,28,286,4,Toronto,Short-term rental,Yes
L Amoreaux,Private room,60,28,342,2,Scarborough,Short-term rental,Yes
Dufferin Grove,Entire home/apt,250,28,0,6,Toronto,Short-term rental,No
Bay Street Corridor,Private room,75,28,0,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,175,28,69,6,Toronto,Short-term rental,No
Dufferin Grove,Private room,78,28,293,2,Toronto,Short-term rental,Yes
Moss Park,Private room,90,28,0,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,115,28,30,3,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,199,28,0,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,250,28,0,4,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,200,28,179,2,North York,Short-term rental,No
High Park Swansea,Entire home/apt,200,30,0,6,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,85,180,89,1,Toronto,Long-term rental,No
Annex,Entire home/apt,364,28,0,6,Toronto,Short-term rental,No
Willowdale West,Private room,64,1,253,1,North York,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,189,2,17,2,Toronto,Short-term rental,Yes
South Parkdale,Entire home/apt,78,28,321,2,Toronto,Short-term rental,Yes
Woodbine Lumsden,Entire home/apt,345,28,89,8,Toronto,Short-term rental,Yes
Newtonbrook East,Private room,69,28,0,2,North York,Short-term rental,No
Humber Heights Westmount,Entire home/apt,80,28,127,1,Etobicoke,Short-term rental,No
Greenwood Coxwell,Private room,65,1,264,2,Toronto,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,407,28,364,12,Toronto,Short-term rental,No
Yonge St Clair,Entire home/apt,130,60,0,4,Toronto,Long-term rental,No
Morningside,Private room,36,28,159,1,Scarborough,Short-term rental,No
Moss Park,Entire home/apt,182,28,90,1,Toronto,Short-term rental,No
Mount Pleasant West,Shared room,25,28,0,1,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,165,28,202,2,Toronto,Short-term rental,Yes
Mount Pleasant West,Entire home/apt,100,28,0,2,Toronto,Short-term rental,No
Englemount Lawrence,Private room,65,28,0,1,Toronto,Short-term rental,No
South Parkdale,Private room,60,28,0,2,Toronto,Short-term rental,No
Moss Park,Entire home/apt,320,45,188,6,Toronto,Long-term rental,No
Rexdale Kipling,Private room,50,28,77,2,Etobicoke,Short-term rental,Yes
Pelmo Park Humberlea,Private room,39,1,12,1,North York,Short-term rental,Yes
Little Portugal,Entire home/apt,200,28,0,5,Toronto,Short-term rental,No
South Parkdale,Private room,80,28,0,4,Toronto,Short-term rental,No
Moss Park,Entire home/apt,200,28,0,3,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,250,90,87,2,Toronto,Long-term rental,No
Palmerston Little Italy,Entire home/apt,165,3,24,2,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,129,28,0,1,Toronto,Short-term rental,No
L Amoreaux,Private room,60,28,342,2,Scarborough,Short-term rental,No
Islington City Centre West,Entire home/apt,85,28,0,2,Etobicoke,Short-term rental,Yes
Humewood Cedarvale,Entire home/apt,98,28,98,1,York,Short-term rental,No
Little Portugal,Private room,110,28,0,2,Toronto,Short-term rental,No
Parkwoods Donalda,Private room,41,28,0,2,North York,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,110,28,0,6,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,80,28,0,1,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,60,28,0,1,Toronto,Short-term rental,No
Thistletown Beaumond Heights,Private room,85,28,83,2,Etobicoke,Short-term rental,No
Willowdale West,Private room,32,30,38,2,North York,Long-term rental,No
West Humber Clairville,Private room,26,28,0,1,Etobicoke,Short-term rental,No
Waterfront Communities The Island,Shared room,999,28,179,2,Toronto,Short-term rental,No
Annex,Private room,90,2,14,2,Toronto,Short-term rental,Yes
Humewood Cedarvale,Entire home/apt,537,28,290,8,York,Short-term rental,No
Victoria Village,Private room,49,28,179,2,North York,Short-term rental,No
Lansing Westgate,Private room,58,28,175,2,North York,Short-term rental,Yes
Old East York,Private room,36,28,0,1,East York,Short-term rental,No
Malvern,Entire home/apt,108,1,93,3,Scarborough,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,250,28,0,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,126,28,259,3,Toronto,Short-term rental,Yes
Newtonbrook East,Entire home/apt,89,28,41,6,North York,Short-term rental,No
Bayview Village,Entire home/apt,99,180,179,2,North York,Long-term rental,No
Niagara,Entire home/apt,80,29,0,2,Toronto,Long-term rental,No
Cabbagetown South St James Town,Entire home/apt,85,28,126,3,Toronto,Short-term rental,No
Mount Pleasant East,Entire home/apt,225,28,0,5,Toronto,Short-term rental,No
Newtonbrook West,Private room,39,28,58,1,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,195,28,0,2,Toronto,Short-term rental,No
Steeles,Entire home/apt,108,28,90,4,North York,Short-term rental,Yes
Corso Italia Davenport,Private room,39,28,0,1,Toronto,Short-term rental,No
Niagara,Entire home/apt,102,28,356,4,Toronto,Short-term rental,Yes
Victoria Village,Private room,49,28,364,2,North York,Short-term rental,No
Bendale,Entire home/apt,46,28,0,3,Scarborough,Short-term rental,No
Willowdale East,Private room,56,28,0,2,North York,Short-term rental,No
Agincourt South Malvern West,Private room,131,28,365,2,Scarborough,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,129,28,261,5,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,175,28,0,3,Toronto,Short-term rental,No
Mount Pleasant East,Private room,66,28,57,3,Toronto,Short-term rental,Yes
East End Danforth,Entire home/apt,129,28,180,4,Toronto,Short-term rental,Yes
Roncesvalles,Entire home/apt,82,28,343,2,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,105,60,5,4,Toronto,Long-term rental,No
Annex,Private room,76,28,343,3,Toronto,Short-term rental,No
Palmerston Little Italy,Entire home/apt,196,2,58,2,Toronto,Short-term rental,Yes
