neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Waterfront Communities The Island,Entire home/apt,85,28,0,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,80,28,31,2,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,79,28,279,2,Toronto,Short-term rental,No
Rosedale Moore Park,Entire home/apt,1021,28,364,9,Toronto,Short-term rental,Yes
Blake Jones,Private room,31,28,0,1,Toronto,Short-term rental,No
High Park North,Entire home/apt,260,28,0,8,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,140,365,363,5,Toronto,Long-term rental,No
Danforth,Private room,85,28,0,2,Toronto,Short-term rental,No
Willowdale East,Private room,140,28,0,1,North York,Short-term rental,No
The Beaches,Entire home/apt,264,1,109,7,Toronto,Short-term rental,Yes
Mimico (Includes Humber Bay Shores),Private room,100,28,179,2,Etobicoke,Short-term rental,Yes
The Beaches,Entire home/apt,75,28,72,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,125,28,315,1,Toronto,Short-term rental,No
Little Portugal,Private room,80,2,117,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,361,28,358,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,109,28,0,2,Toronto,Short-term rental,No
Corso Italia Davenport,Private room,75,30,67,1,Toronto,Long-term rental,No
Casa Loma,Shared room,76,28,0,1,Toronto,Short-term rental,No
Dufferin Grove,Entire home/apt,150,10,202,1,Toronto,Short-term rental,Yes
Danforth,Private room,150,1,362,2,Toronto,Short-term rental,Yes
University,Private room,55,90,165,1,Toronto,Long-term rental,No
Forest Hill South,Entire home/apt,141,28,0,3,Toronto,Short-term rental,No
Moss Park,Private room,60,28,0,2,Toronto,Short-term rental,No
University,Private room,55,90,131,1,Toronto,Long-term rental,No
Rosedale Moore Park,Private room,89,28,253,2,Toronto,Short-term rental,No
Flemingdon Park,Private room,45,28,204,1,North York,Short-term rental,No
Church Yonge Corridor,Entire home/apt,389,2,45,2,Toronto,Short-term rental,Yes
East End Danforth,Entire home/apt,72,28,343,3,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,101,28,120,1,Toronto,Short-term rental,No
Birchcliffe Cliffside,Entire home/apt,70,31,253,2,Scarborough,Long-term rental,No
Moss Park,Private room,80,28,260,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,105,28,88,2,North York,Short-term rental,No
Woodbine Corridor,Private room,33,30,68,1,Toronto,Long-term rental,No
Pleasant View,Entire home/apt,58,31,365,2,North York,Long-term rental,No
Church Yonge Corridor,Entire home/apt,300,28,365,3,Toronto,Short-term rental,Exempt
Brookhaven Amesbury,Private room,55,28,344,2,North York,Short-term rental,No
Little Portugal,Private room,102,28,64,2,Toronto,Short-term rental,Yes
Church Yonge Corridor,Shared room,621,28,365,1,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,196,28,68,2,Toronto,Short-term rental,No
Niagara,Entire home/apt,299,28,179,2,Toronto,Short-term rental,Yes
Newtonbrook West,Private room,90,28,0,2,North York,Short-term rental,No
Oakwood Village,Entire home/apt,115,28,337,2,York,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,106,29,90,2,Toronto,Long-term rental,No
Junction Area,Entire home/apt,259,28,179,6,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,110,30,90,3,Toronto,Long-term rental,No
Playter Estates Danforth,Entire home/apt,225,28,0,7,Toronto,Short-term rental,No
Agincourt South Malvern West,Entire home/apt,60,180,363,2,Scarborough,Long-term rental,No
Little Portugal,Entire home/apt,138,28,0,4,Toronto,Short-term rental,No
Junction Area,Entire home/apt,68,31,139,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,304,2,123,4,Toronto,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,300,28,0,5,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,108,28,179,2,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,343,1,72,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,140,28,81,2,Toronto,Short-term rental,No
Niagara,Entire home/apt,105,28,39,2,Toronto,Short-term rental,No
Annex,Entire home/apt,163,30,328,4,Toronto,Long-term rental,No
Blake Jones,Private room,45,40,85,1,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,128,28,336,2,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,160,28,301,3,Toronto,Short-term rental,Yes
Greenwood Coxwell,Private room,55,28,59,1,Toronto,Short-term rental,Yes
Roncesvalles,Entire home/apt,358,3,291,3,Toronto,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,295,7,195,7,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,226,14,141,4,Toronto,Short-term rental,Yes
Regent Park,Entire home/apt,160,365,365,2,Toronto,Long-term rental,No
Mimico (Includes Humber Bay Shores),Private room,200,28,365,2,Etobicoke,Short-term rental,No
Corso Italia Davenport,Entire home/apt,70,28,0,2,Toronto,Short-term rental,No
Flemingdon Park,Private room,50,28,97,1,North York,Short-term rental,No
South Riverdale,Entire home/apt,80,30,221,2,Toronto,Long-term rental,No
Trinity Bellwoods,Private room,130,3,208,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,199,28,0,2,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,141,28,68,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,116,28,83,4,Toronto,Short-term rental,No
